Code;Ward name;LAD code;Borough;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13
E09000001;City of London;E09000001;City of London;65120;66410;69800;74510;76200;81300;83050;89340;89680;93380;97030;99390;;42720;43620;45150;48070;48380;51410;53110;54960;57520;59240;62290;63620
E05000026;Abbey;E09000002;Barking and Dagenham;25540;25920;27150;28920;29550;31530;32230;34710;34890;36380;37870;38870;;22660;23050;23810;25320;25490;27100;28030;29050;30470;31450;33140;33920
E05000027;Alibon;E09000002;Barking and Dagenham;23980;24390;25610;27350;28000;29940;30660;33080;33320;34810;36290;37290;;21160;21590;22360;23840;24050;25640;26580;27610;29010;30000;31670;32470
E05000028;Becontree;E09000002;Barking and Dagenham;25250;25580;26750;28450;29030;30920;31560;33950;34090;35510;36930;37860;;22390;22740;23440;24880;25000;26540;27420;28390;29730;30660;32270;33000
E05000029;Chadwell Heath;E09000002;Barking and Dagenham;25950;26290;27490;29240;29830;31770;32430;34870;35010;36470;37910;38860;;23040;23400;24120;25610;25730;27320;28220;29200;30580;31520;33170;33920
E05000030;Eastbrook;E09000002;Barking and Dagenham;29330;29640;30920;32800;33380;35470;36100;38730;38790;40310;41820;42780;;26110;26460;27200;28810;28870;30560;31480;32500;33950;34910;36660;37400
E05000031;Eastbury;E09000002;Barking and Dagenham;24970;25300;26470;28170;28760;30660;31310;33710;33870;35320;36760;37720;;22120;22470;23170;24620;24750;26300;27190;28170;29530;30470;32110;32870
E05000032;Gascoigne;E09000002;Barking and Dagenham;22700;22980;24020;25550;26070;27780;28370;30530;30680;31980;33270;34140;;19890;20190;20810;22090;22210;23590;24380;25260;26480;27330;28790;29480
E05000033;Goresbrook;E09000002;Barking and Dagenham;24290;24720;25980;27760;28440;30440;31200;33690;33960;35510;37060;38130;;21460;21910;22700;24230;24470;26100;27080;28150;29610;30650;32400;33250
E05000034;Heath;E09000002;Barking and Dagenham;23660;24010;25160;26810;27400;29250;29900;32210;32380;33780;35160;36080;;20850;21220;21920;23320;23490;24990;25860;26810;28130;29040;30610;31340
