Theme;Health;Health;Health;Economic security;Safety;Safety;Education;Children;Families;Access;Environ-ment;Happiness;;;;;;;;;;;;;;;;;;;;
Indicator name;Life Expectancy;Childhood Obesity;Incapacity Benefits claimant rate;Unemployment rate;Crime rate;Deliberate Fires;GCSE point scores;Unauthorised Pupil Absence;Children in out-of-work households;Public Transport Accessibility Scores;Access to public open space & nature;Subjective well-being average score;;;;;;;;;;;;;;;;;;;;
Importance;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
"
10 = very important and 
0 = not important at all";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Overall well-being probability score (E&W = 0);;;;;;;;;;;;;;;;;;;;;;;;;;;
Borough name;Ward Code;Ward name;;;2009;2010;2011;2012;2013;;;;;;;;;;;;;;;;;;;;;;;
City of London;E09000001;City of London;;;0;0;0;0;0;;0,0;;;;0;0;0;0;0;;;;;;;;;;;;;
Barking and Dagenham;E05000026;Abbey;;;8;8;8;8;6;;-0,5;;;;0;0;0;-2;;;;;;;;;;;;;;
Barking and Dagenham;E05000027;Alibon;;;-9;-9;-9;-9;-5;;1,0;;;;0;0;0;4;;;;;;;;;;;;;;
Barking and Dagenham;E05000028;Becontree;;;-1;-1;-1;-1;-5;;-1,0;;;;0;0;0;-4;;;;;;;;;;;;;;
Barking and Dagenham;E05000029;Chadwell Heath;;;-17;-17;-17;-17;-5;;3,0;;;;0;0;0;12;;;;;;;;;;;;;;
Barking and Dagenham;E05000030;Eastbrook;;;8;8;8;8;-5;;-3,1;;;;0;0;0;-13;;;;;;;;;;;;;;
Barking and Dagenham;E05000031;Eastbury;;;15;15;15;15;6;;-2,2;;;;0;0;0;-9;;;;;;;;;;;;;;
Barking and Dagenham;E05000032;Gascoigne;;;6;6;6;6;6;;0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Barking and Dagenham;E05000033;Goresbrook;;;-22;-22;-22;-22;6;;7,1;;;;0;0;0;28;;;;;;;;;;;;;;
Barking and Dagenham;E05000034;Heath;;;-5;-5;-5;-5;-5;;0,1;;;;0;0;0;1;;;;;;;;;;;;;;
Barking and Dagenham;E05000035;Longbridge;;;15;15;15;15;6;;-2,2;;;;0;0;0;-9;;;;;;;;;;;;;;
Barking and Dagenham;E05000036;Mayesbrook;;;-1;-1;-1;-1;-5;;-0,9;;;;0;0;0;-4;;;;;;;;;;;;;;
Barking and Dagenham;E05000037;Parsloes;;;21;21;21;21;-5;;-6,4;;;;0;0;0;-26;;;;;;;;;;;;;;
Barking and Dagenham;E05000038;River;;;-7;-7;-7;-7;-5;;0,5;;;;0;0;0;2;;;;;;;;;;;;;;
Barking and Dagenham;E05000039;Thames;;;1;1;1;1;6;;1,4;;;;0;0;0;5;;;;;;;;;;;;;;
Barking and Dagenham;E05000040;Valence;;;-4;-4;-4;-4;-5;;-0,2;;;;0;0;0;-1;;;;;;;;;;;;;;
Barking and Dagenham;E05000041;Village;;;-17;-17;-17;-17;-5;;3,1;;;;0;0;0;12;;;;;;;;;;;;;;
Barking and Dagenham;E05000042;Whalebone;;;3;3;3;3;-5;;-2,1;;;;0;0;0;-8;;;;;;;;;;;;;;
